suburb,latitude,longitude,date,type,description
Essendon,-37.758643,144.914925,2006-03-24,SEXUAL_ASSAULT,"Coming home from the night shift, a couple arguing loudly engaged in non-consensual touching in the underground parking lot. I quickly ducked into a shop."
Essendon,-37.749512,144.917599,2006-03-24,SEXUAL_ASSAULT,"Commuting during the morning rush, a delivery driver attempted to kiss me forcefully near the ticket barriers. No one intervened."
Southbank,-37.827472,144.967968,2006-03-26,UNWANTED_PHYSICAL_CONTACT,"After finishing dinner at a restaurant, an aggressive individual brushed against me multiple times near the station entrance. I reported it to a nearby officer."
Northcote,-37.760729,145.008105,2006-03-27,UNWANTED_PHYSICAL_CONTACT,"Walking to my car, a group of skaters threw a small object at me at a crowded intersection. I called a friend immediately."
Abbotsford,-37.792593,145.010341,2006-03-27,SEXUAL_ASSAULT,"Just after leaving the station, a passerby attempted a forced physical interaction outside a pharmacy. I felt extremely intimidated."
Carlton,-37.807281,144.955857,2006-03-27,UNWANTED_PHYSICAL_CONTACT,"Just after leaving the station, a middle-aged man grabbed my arm near a historic monument. I quickly ducked into a shop."
Williamstown,-37.861054,144.892255,2006-03-28,UNWANTED_PHYSICAL_CONTACT,"Around midnight, a woman in a reflective vest pushed into my personal space outside a pharmacy. I called a friend immediately."
North Melbourne,-37.797165,144.947915,2006-03-28,SEXUAL_ASSAULT,"Just after leaving the station, someone on an e-scooter pinned me against a wall briefly at a crowded intersection. I called a friend immediately."
Brunswick,-37.762139,144.960931,2006-03-30,SEXUAL_ASSAULT,"Around midnight, an individual who appeared intoxicated made explicit and unwanted advances underneath a railway bridge. I was left feeling vulnerable."
Kensington,-37.800056,144.941,2006-03-30,SEXUAL_ASSAULT,"Meeting friends for drinks, a stranger wearing a hoodie forced an unwanted physical encounter on the steps of the library. I reported it via a safety app."
Southbank,-37.813944,144.972442,2006-03-30,STREET_HARASSMENT,"Coming back from a night out, an individual who appeared intoxicated used aggressive language in a poorly lit laneway. I reported it to a nearby officer."
Prahran,-37.862267,144.989539,2006-04-02,STREET_HARASSMENT,"While waiting for the tram, a group of individuals engaged in intimidating verbal behavior near the station entrance. I tried to ignore them."
Hawthorn,-37.823982,145.033032,2006-04-03,UNWANTED_PHYSICAL_CONTACT,"Passing by a construction site, a cyclist who stopped suddenly grabbed my hand and wouldn't let go beside a row of parked cars. They eventually walked off."
Footscray,-37.797494,144.914356,2006-04-03,SEXUAL_ASSAULT,"Just as the sun was setting, a cyclist who stopped suddenly engaged in non-consensual touching near a historic monument. I reported it to a nearby officer."
Northcote,-37.764956,144.999175,2006-04-04,UNWANTED_PHYSICAL_CONTACT,"Around midnight, a woman in a reflective vest threw a small object at me outside a popular cafe. I quickly ducked into a shop."
Footscray,-37.808755,144.909859,2006-04-05,SEXUAL_ASSAULT,"Checking my phone at the bus stop, two men tried to pull me toward a darker area outside a popular cafe. I called the police later."
Moonee Ponds,-37.762867,144.927787,2006-04-06,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, two men made inappropriate contact in a crowd in the underground parking lot. I managed to run away."
Williamstown,-37.866803,144.88617,2006-04-07,STREET_HARASSMENT,"Just as the sun was setting, someone leaning against a wall made persistent unwanted comments outside a 7-Eleven. I reported it to a nearby officer."
Carlton,-37.794253,144.969818,2006-04-07,UNWANTED_PHYSICAL_CONTACT,"Heading to the gym early, a stranger asking for directions nudged me forcefully at a crowded intersection. I took a photo from a distance."
Elwood,-37.881103,144.984439,2006-04-07,UNWANTED_PHYSICAL_CONTACT,"Meeting friends for drinks, a passerby grabbed my hand and wouldn't let go near a deserted construction zone. I kept my head down and ran."
Prahran,-37.86315,144.983583,2006-04-07,STREET_HARASSMENT,"Taking a shortcut through a park, a stranger asking for directions blocked my path while catcalling at the taxi rank. I felt my heart racing."
East Melbourne,-37.821295,144.99662,2006-04-08,UNWANTED_PHYSICAL_CONTACT,"During the evening rush, a stranger asking for directions grabbed the back of my jacket near a deserted construction zone. I eventually lost them in the crowd."
Elwood,-37.869843,144.979378,2006-04-09,STREET_HARASSMENT,"While waiting for the tram, a group of individuals refused to let me pass while staring in a quiet residential cul-de-sac. No one intervened."
Kensington,-37.782129,144.930823,2006-04-10,UNWANTED_PHYSICAL_CONTACT,"Waiting for a rideshare to arrive, a woman in a reflective vest tried to pull my bag by the public restrooms. I quickly ducked into a shop."
Kensington,-37.782155,144.939623,2006-04-10,SEXUAL_ASSAULT,"Heading to the gym early, a lone person committed a physical assault near a deserted construction zone. I'm shaken but okay."
Kensington,-37.786329,144.929337,2006-04-12,STREET_HARASSMENT,"Commuting during the morning rush, someone on an e-scooter made inappropriate jokes outside a residential building. I eventually lost them in the crowd."
East Melbourne,-37.810456,144.985375,2006-04-12,SEXUAL_ASSAULT,"While waiting for the tram, a person who seemed to be following me harassed me with sexually charged language in the underground parking lot. I reported it to a nearby officer."
Carlton,-37.789531,144.972759,2006-04-12,STREET_HARASSMENT,"While waiting for the tram, an aggressive individual engaged in intimidating verbal behavior on the steps of the library. I shouted at them to leave me alone."
Toorak,-37.846906,145.027022,2006-04-13,SEXUAL_ASSAULT,"During the evening rush, a stranger asking for directions engaged in indecent behavior along the bike path by the creek. I moved to a better-lit area."
Prahran,-37.843609,144.990546,2006-04-13,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, an individual who appeared intoxicated attempted to kiss me forcefully at a crowded intersection. I called a friend immediately."
Coburg,-37.738207,144.968864,2006-04-14,UNWANTED_PHYSICAL_CONTACT,"Heading to the gym early, a stranger asking for directions pushed into my personal space near a bus shelter. They eventually walked off."
Hawthorn,-37.811883,145.037986,2006-04-14,STREET_HARASSMENT,"Waiting for a rideshare to arrive, two men threatened to follow me home in the middle of the park. They eventually walked off."
Toorak,-37.85136,145.008274,2006-04-14,SEXUAL_ASSAULT,"On a quiet side street, a group of skaters forced an unwanted physical encounter outside a supermarket. I felt extremely intimidated."
Hawthorn,-37.815382,145.037684,2006-04-15,SEXUAL_ASSAULT,"On a quiet side street, a person acting erratically grabbed my waist without consent beside a row of parked cars. I reported it via a safety app."
Melbourne CBD,-37.808446,144.95208,2006-04-16,UNWANTED_PHYSICAL_CONTACT,"Commuting during the morning rush, someone leaning against a wall nudged me forcefully along the bike path by the creek. I tried to ignore them."
Camberwell,-37.829106,145.048397,2006-04-16,STREET_HARASSMENT,"Waiting for a rideshare to arrive, a cyclist who stopped suddenly followed me for several blocks outside a pub. I felt my heart racing."
Coburg,-37.74817,144.968504,2006-04-17,SEXUAL_ASSAULT,"While waiting for the tram, someone leaning against a wall attempted a forced physical interaction on the steps of the library. No one intervened."
Elwood,-37.871204,144.99477,2006-04-17,STREET_HARASSMENT,"Coming back from a night out, a delivery driver made inappropriate jokes at a crowded intersection. I won't be walking that way again."
Port Melbourne,-37.845864,144.936554,2006-04-19,UNWANTED_PHYSICAL_CONTACT,"Just as the sun was setting, someone on an e-scooter attempted to snatch my phone in a quiet residential cul-de-sac. I kept my head down and ran."
Fitzroy,-37.806815,144.987176,2006-04-21,STREET_HARASSMENT,"Exploring the local market, a person who seemed to be following me blocked my path while catcalling in a quiet residential cul-de-sac. I felt my heart racing."
Camberwell,-37.8332,145.057629,2006-04-23,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, a passerby made sexualized threats in a quiet residential cul-de-sac. I called the police later."
Elwood,-37.874787,144.976212,2006-04-24,UNWANTED_PHYSICAL_CONTACT,"Heading to the gym early, a delivery driver threw a small object at me near a bicycle path. I felt extremely intimidated."
Prahran,-37.849985,144.995055,2006-04-25,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, someone on an e-scooter made persistent unwanted comments outside a supermarket. I called the police later."
East Melbourne,-37.821872,144.991936,2006-04-25,SEXUAL_ASSAULT,"Browsing the shops on a busy Saturday, someone sitting on a park bench groped me in the middle of the crowd underneath a railway bridge. I eventually lost them in the crowd."
Williamstown,-37.862113,144.908098,2006-04-26,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, an individual who appeared intoxicated harassed me with sexually charged language by the public restrooms. I called the police later."
St Kilda,-37.85419,144.972211,2006-04-27,UNWANTED_PHYSICAL_CONTACT,"Broad daylight, near the shops, a person with their hood up nudged me forcefully outside a residential building. No one intervened."
Hawthorn,-37.822194,145.036686,2006-04-27,STREET_HARASSMENT,"Returning books to the library, a woman in a reflective vest tried to engage in unwanted conversation near the entrance of a shopping centre. I was left feeling vulnerable."
Southbank,-37.816219,144.953523,2006-04-27,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a group of teenagers grabbed my arm near the tram stop. I felt very unsafe."
Brunswick,-37.771082,144.959626,2006-04-27,SEXUAL_ASSAULT,"Around midnight, a group of teenagers violated personal space aggressively on the steps of the library. I called the police later."
Melbourne CBD,-37.809772,144.96853,2006-04-28,SEXUAL_ASSAULT,"Coming back from a night out, a lone person made sexualized threats outside a pharmacy. They eventually walked off."
Camberwell,-37.832055,145.057656,2006-04-29,UNWANTED_PHYSICAL_CONTACT,"After finishing dinner at a restaurant, an individual who appeared intoxicated attempted to snatch my phone on the steps of the library. I eventually lost them in the crowd."
North Melbourne,-37.797242,144.938645,2006-05-01,SEXUAL_ASSAULT,"During the evening rush, a person acting erratically committed a physical assault by the public restrooms. I felt extremely intimidated."
Hawthorn,-37.811663,145.044994,2006-05-01,SEXUAL_ASSAULT,"Coming home from the night shift, two men pinned me against a wall briefly outside a pharmacy. I called the police later."
Camberwell,-37.834851,145.063126,2006-05-01,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, a group of teenagers blocked my path while catcalling in the middle of the park. I called a friend immediately."
Williamstown,-37.861766,144.888177,2006-05-02,STREET_HARASSMENT,"After finishing dinner at a restaurant, a cyclist who stopped suddenly followed me for several blocks in a quiet residential cul-de-sac. I felt very unsafe."
Flemington,-37.793724,144.937371,2006-05-03,UNWANTED_PHYSICAL_CONTACT,"Meeting friends for drinks, someone sitting on a park bench tried to pull my bag near the entrance of a shopping centre. I reported it to a nearby officer."
Flemington,-37.786914,144.916305,2006-05-04,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, a stranger asking for directions made explicit and unwanted advances along the Yarra River walk. I quickly ducked into a shop."
Southbank,-37.823332,144.960243,2006-05-05,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, a person who seemed to be following me tried to pull my bag along the bike path by the creek. I felt my heart racing."
Melbourne CBD,-37.805558,144.964512,2006-05-06,STREET_HARASSMENT,"Broad daylight, near the shops, an individual who appeared intoxicated cornered me and asked personal questions beside a row of parked cars. I felt extremely intimidated."
Docklands,-37.806113,144.93557,2006-05-08,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, someone on an e-scooter reached out to touch me inappropriately in a quiet residential cul-de-sac. I felt very unsafe."
Melbourne CBD,-37.81758,144.958071,2006-05-08,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, an individual who appeared intoxicated pushed past me aggressively outside a popular cafe. I was left feeling vulnerable."
Melbourne CBD,-37.825228,144.964826,2006-05-08,UNWANTED_PHYSICAL_CONTACT,"While walking home, a stranger asking for directions pushed into my personal space in the underground parking lot. I shouted at them to leave me alone."
St Kilda,-37.87128,144.983574,2006-05-09,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, a passerby exposed themselves in public near the entrance of a shopping centre. I called the police later."
Hawthorn,-37.829473,145.042137,2006-05-10,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, a group of individuals threatened to follow me home outside a supermarket. I quickly ducked into a shop."
Fitzroy,-37.79068,144.975268,2006-05-11,UNWANTED_PHYSICAL_CONTACT,"Just as the sun was setting, a stranger asking for directions grabbed my arm near the tram stop. I was left feeling vulnerable."
Richmond,-37.833128,144.989991,2006-05-11,SEXUAL_ASSAULT,"Meeting friends for drinks, a cyclist who stopped suddenly exposed themselves in public in the underground parking lot. No one intervened."
Brunswick,-37.770629,144.952825,2006-05-11,SEXUAL_ASSAULT,"Coming back from a night out, a group of individuals attempted to kiss me forcefully near the tram stop. I reported it via a safety app."
Richmond,-37.817971,145.002539,2006-05-13,UNWANTED_PHYSICAL_CONTACT,"Around midnight, a stranger asking for directions pushed into my personal space outside a pharmacy. I called a friend immediately."
Fitzroy,-37.806467,144.984863,2006-05-15,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, a person with their hood up threw a small object at me outside a 7-Eleven. I took a photo from a distance."
Essendon,-37.752302,144.906333,2006-05-16,STREET_HARASSMENT,"Taking a shortcut through a park, a group of skaters shouted nonsense to intimidate in a poorly lit laneway. I tried to ignore them."
Williamstown,-37.866068,144.909762,2006-05-16,UNWANTED_PHYSICAL_CONTACT,"On a quiet side street, a person with their hood up pushed past me aggressively at the taxi rank. I won't be walking that way again."
Moonee Ponds,-37.755129,144.923568,2006-05-16,UNWANTED_PHYSICAL_CONTACT,"Walking to my car, someone leaning against a wall jostled me while standing in line at the taxi rank. I felt my heart racing."
Essendon,-37.748405,144.911046,2006-05-16,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, a group of teenagers grabbed my waist without consent in the middle of the park. I quickly ducked into a shop."
Preston,-37.736664,145.015146,2006-05-17,STREET_HARASSMENT,"Coming home from the night shift, a person who seemed to be following me followed me for several blocks in a quiet residential cul-de-sac. I kept my head down and ran."
Brunswick,-37.775986,144.951998,2006-05-17,SEXUAL_ASSAULT,"Coming home from the night shift, a group of teenagers exposed themselves in public near the tram stop. I tried to ignore them."
Southbank,-37.831343,144.972347,2006-05-17,STREET_HARASSMENT,"Returning books to the library, someone sitting on a park bench shouted derogatory remarks near the tram stop. I took a photo from a distance."
Southbank,-37.819399,144.958876,2006-05-18,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a group of individuals reached out to touch me inappropriately near a historic monument. I tried to ignore them."
Elwood,-37.888908,144.980884,2006-05-19,SEXUAL_ASSAULT,"Around midnight, someone on an e-scooter made lewd comments while approaching near a bicycle path. I tried to ignore them."
Coburg,-37.746154,144.971681,2006-05-20,SEXUAL_ASSAULT,"Walking to my car, someone leaning against a wall reached out to touch me inappropriately along the Yarra River walk. I shouted at them to leave me alone."
Yarraville,-37.808894,144.889001,2006-05-21,SEXUAL_ASSAULT,"Walking to my car, an individual who appeared intoxicated violated personal space aggressively near the station entrance. I quickly ducked into a shop."
Camberwell,-37.836341,145.050846,2006-05-21,STREET_HARASSMENT,"Waiting for a rideshare to arrive, a group of teenagers persistently asked for my number near the ticket barriers. No one intervened."
Northcote,-37.768918,145.006487,2006-05-21,STREET_HARASSMENT,"While waiting for the tram, a lone person mimicked my movements mocking me underneath a railway bridge. I called a friend immediately."
Brunswick,-37.75804,144.966886,2006-05-21,STREET_HARASSMENT,"Just after leaving the station, a person who seemed to be following me made inappropriate jokes beside a row of parked cars. I was left feeling vulnerable."
Southbank,-37.826459,144.97049,2006-05-22,SEXUAL_ASSAULT,"Heading to the gym early, a cyclist who stopped suddenly made lewd comments while approaching near a deserted construction zone. I moved to a better-lit area."
Preston,-37.745389,145.012039,2006-05-22,SEXUAL_ASSAULT,"Broad daylight, near the shops, a woman in a reflective vest pinned me against a wall briefly outside a 7-Eleven. I was left feeling vulnerable."
Thornbury,-37.750787,145.0052,2006-05-25,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, a lone person refused to let me pass while staring in a quiet residential cul-de-sac. I called a friend immediately."
Northcote,-37.776056,144.99254,2006-05-25,STREET_HARASSMENT,"Waiting for a rideshare to arrive, someone on an e-scooter refused to let me pass while staring near a bus shelter. I felt extremely intimidated."
Moonee Ponds,-37.761868,144.929118,2006-05-26,STREET_HARASSMENT,"Around midnight, a stranger asking for directions made persistent unwanted comments near the entrance of a shopping centre. I tried to ignore them."
St Kilda,-37.863676,144.982791,2006-05-26,STREET_HARASSMENT,"Heading to the gym early, two men threatened to follow me home outside a pub. I took a photo from a distance."
Collingwood,-37.7943,144.994572,2006-05-27,STREET_HARASSMENT,"Checking my phone at the bus stop, a group of individuals shouted offensive slurs on the steps of the library. I'm shaken but okay."
Brunswick,-37.765204,144.957865,2006-05-29,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a group of teenagers committed a physical assault near a historic monument. I called the police later."
South Yarra,-37.845034,144.980121,2006-05-30,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a group of teenagers attempted to kiss me forcefully near a bus shelter. I reported it via a safety app."
Richmond,-37.814847,145.003401,2006-05-30,UNWANTED_PHYSICAL_CONTACT,"Heading to the gym early, a person acting erratically grabbed the back of my jacket near the entrance of a shopping centre. I reported it via a safety app."
Port Melbourne,-37.842418,144.927369,2006-06-01,STREET_HARASSMENT,"While waiting for the tram, someone on an e-scooter tried to engage in unwanted conversation outside a residential building. Thankfully, a bystander helped."
Camberwell,-37.837348,145.048442,2006-06-04,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, a couple arguing loudly tried to engage in unwanted conversation outside a popular cafe. I felt my heart racing."
Northcote,-37.779189,144.996512,2006-06-04,UNWANTED_PHYSICAL_CONTACT,"While walking home, a passerby tripped me as I tried to walk by underneath a railway bridge. I shouted at them to leave me alone."
Camberwell,-37.84261,145.068466,2006-06-04,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a middle-aged man jostled me while standing in line underneath a railway bridge. I kept my head down and ran."
Moonee Ponds,-37.754551,144.92212,2006-06-05,STREET_HARASSMENT,"Exploring the local market, a lone person whistled and made suggestive gestures beside a row of parked cars. No one intervened."
South Yarra,-37.84017,144.992916,2006-06-05,UNWANTED_PHYSICAL_CONTACT,"Passing by a construction site, an aggressive individual tripped me as I tried to walk by in the middle of the park. I quickly ducked into a shop."
Abbotsford,-37.803204,144.997708,2006-06-07,SEXUAL_ASSAULT,"Heading to the gym early, a passerby exposed themselves in public outside a pharmacy. I called the police later."
Richmond,-37.831449,144.988995,2006-06-09,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, a passerby engaged in non-consensual touching outside a supermarket. I was left feeling vulnerable."
Hawthorn,-37.81281,145.024674,2006-06-10,UNWANTED_PHYSICAL_CONTACT,"Walking the dog around the block, a person acting erratically attempted to snatch my phone underneath a railway bridge. I reported it to a nearby officer."
Toorak,-37.844814,145.019789,2006-06-11,STREET_HARASSMENT,"Just after leaving the station, a passerby tried to engage in unwanted conversation near a deserted construction zone. I quickly ducked into a shop."
Essendon,-37.758981,144.924454,2006-06-11,STREET_HARASSMENT,"After finishing dinner at a restaurant, a cyclist who stopped suddenly made persistent unwanted comments near the tram stop. I reported it via a safety app."
Elwood,-37.870927,144.976486,2006-06-12,UNWANTED_PHYSICAL_CONTACT,"Just as the sun was setting, a lone person threw a small object at me near the entrance of a shopping centre. I felt my heart racing."
Yarraville,-37.813886,144.884379,2006-06-13,UNWANTED_PHYSICAL_CONTACT,"Taking a shortcut through a park, a couple arguing loudly threw a small object at me outside a pharmacy. Thankfully, a bystander helped."
Abbotsford,-37.799772,144.993327,2006-06-13,STREET_HARASSMENT,"During the evening rush, an individual who appeared intoxicated made inappropriate jokes in a poorly lit laneway. I kept my head down and ran."
Port Melbourne,-37.847856,144.939519,2006-06-13,SEXUAL_ASSAULT,"Browsing the shops on a busy Saturday, a woman in a reflective vest harassed me with sexually charged language near the tram stop. I kept my head down and ran."
Williamstown,-37.855875,144.902791,2006-06-13,SEXUAL_ASSAULT,"Heading to the gym early, an aggressive individual committed a physical assault at the taxi rank. I took a photo from a distance."
Prahran,-37.860889,144.998089,2006-06-14,SEXUAL_ASSAULT,"Commuting during the morning rush, a group of skaters engaged in non-consensual touching in a poorly lit laneway. I reported it via a safety app."
Toorak,-37.848109,145.014625,2006-06-14,UNWANTED_PHYSICAL_CONTACT,"While walking home, an individual who appeared intoxicated stepped on the back of my shoes outside a pub. I eventually lost them in the crowd."
Brunswick,-37.757683,144.961538,2006-06-14,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, a group of skaters pushed into my personal space near the entrance of a shopping centre. I tried to ignore them."
Flemington,-37.782203,144.925683,2006-06-15,SEXUAL_ASSAULT,"Coming back from a night out, a cyclist who stopped suddenly cornered me in a secluded spot outside a pub. I felt my heart racing."
Melbourne CBD,-37.80421,144.959693,2006-06-16,STREET_HARASSMENT,"Walking to my car, a person acting erratically blocked my path while catcalling underneath a railway bridge. I reported it via a safety app."
Abbotsford,-37.79163,144.991393,2006-06-17,STREET_HARASSMENT,"Walking the dog around the block, a group of skaters was filming me without consent on the steps of the library. I reported it to a nearby officer."
Melbourne CBD,-37.821526,144.954192,2006-06-17,UNWANTED_PHYSICAL_CONTACT,"Just after leaving the station, a group of teenagers threw a small object at me underneath a railway bridge. I managed to run away."
Moonee Ponds,-37.757198,144.918578,2006-06-18,SEXUAL_ASSAULT,"Browsing the shops on a busy Saturday, a stranger asking for directions engaged in non-consensual touching in the underground parking lot. I felt my heart racing."
Footscray,-37.795831,144.897984,2006-06-19,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, a delivery driver attempted to snatch my phone at the taxi rank. I shouted at them to leave me alone."
East Melbourne,-37.804755,144.992536,2006-06-20,STREET_HARASSMENT,"Checking my phone at the bus stop, a cyclist who stopped suddenly refused to let me pass while staring in a poorly lit laneway. I managed to run away."
Flemington,-37.784995,144.917259,2006-06-21,UNWANTED_PHYSICAL_CONTACT,"Meeting friends for drinks, a group of teenagers pushed past me aggressively outside a residential building. I called the police later."
Williamstown,-37.852288,144.886717,2006-06-22,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, someone leaning against a wall tried to block my exit with their body near the tram stop. I won't be walking that way again."
Docklands,-37.808251,144.935831,2006-06-23,STREET_HARASSMENT,"Commuting during the morning rush, a cyclist who stopped suddenly tried to engage in unwanted conversation underneath a railway bridge. I reported it to a nearby officer."
Footscray,-37.803589,144.90474,2006-06-24,UNWANTED_PHYSICAL_CONTACT,"During the evening rush, a person with their hood up stepped on the back of my shoes in the middle of the park. I eventually lost them in the crowd."
Collingwood,-37.809301,144.989305,2006-06-24,SEXUAL_ASSAULT,"Taking a shortcut through a park, a group of teenagers grabbed my waist without consent near a bus shelter. Thankfully, a bystander helped."
Footscray,-37.80855,144.907004,2006-06-25,STREET_HARASSMENT,"Heading to the gym early, a lone person blocked my path while catcalling outside a 24-hour gym. Thankfully, a bystander helped."
Yarraville,-37.823128,144.898362,2006-06-27,STREET_HARASSMENT,"While waiting for the tram, a group of skaters made inappropriate jokes near the tram stop. I called a friend immediately."
Williamstown,-37.864913,144.897855,2006-06-27,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a middle-aged man groped me in the middle of the crowd underneath a railway bridge. I was left feeling vulnerable."
East Melbourne,-37.81567,144.990293,2006-06-28,STREET_HARASSMENT,"Walking the dog around the block, a person who seemed to be following me whistled and made suggestive gestures in the underground parking lot. I kept my head down and ran."
Williamstown,-37.851552,144.894889,2006-06-28,SEXUAL_ASSAULT,"Walking the dog around the block, a delivery driver grabbed my waist without consent in the middle of the park. I took a photo from a distance."
Flemington,-37.788889,144.918504,2006-06-29,UNWANTED_PHYSICAL_CONTACT,"Returning books to the library, someone leaning against a wall attempted to snatch my phone on the steps of the library. I felt my heart racing."
East Melbourne,-37.803525,144.99306,2006-06-30,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, a woman in a reflective vest mocked my appearance loudly near a bicycle path. I took a photo from a distance."
Flemington,-37.792819,144.923145,2006-06-30,SEXUAL_ASSAULT,"Broad daylight, near the shops, a group of teenagers made lewd comments while approaching outside a pharmacy. I felt very unsafe."
Yarraville,-37.805358,144.891729,2006-06-30,SEXUAL_ASSAULT,"Taking a shortcut through a park, a lone person pinned me against a wall briefly outside a 24-hour gym. I took a photo from a distance."
Toorak,-37.840281,145.006629,2006-07-01,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, a cyclist who stopped suddenly pushed into my personal space outside a 7-Eleven. I won't be walking that way again."
Docklands,-37.824411,144.954473,2006-07-01,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, someone on an e-scooter committed a physical assault near a historic monument. I shouted at them to leave me alone."
Preston,-37.742312,145.008528,2006-07-02,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, two men violated personal space aggressively near a deserted construction zone. I managed to run away."
