latitude,longitude,date,type
-37.7457,145.0847,2024-03-24,SEXUAL_ASSAULT
-37.7164,145.0565,2024-03-24,THEFT
-37.7503,145.0674,2024-03-25,ASSAULT
-37.7328,145.0947,2024-03-25,STREET_HARASSMENT
-37.7536,145.0516,2024-03-26,ASSAULT
-37.74,145.073,2024-03-26,THEFT
-37.7311,145.0884,2024-03-27,ROBBERY
-37.719,145.0674,2024-03-27,STREET_HARASSMENT
-37.7208,145.0777,2024-03-30,SEXUAL_ASSAULT
-37.7342,145.0702,2024-03-31,STREET_HARASSMENT
-37.7457,145.0938,2024-03-31,STREET_HARASSMENT
-37.7482,145.055,2024-04-02,ASSAULT
-37.7533,145.073,2024-04-03,ASSAULT
-37.7325,145.0884,2024-04-03,UNWANTED_PHYSICAL_CONTACT
-37.7009,145.0775,2024-04-03,VANDALISM
-37.7134,145.05,2024-04-06,STREET_HARASSMENT
-37.7046,145.0431,2024-04-07,THEFT
-37.7256,145.0556,2024-04-07,STREET_HARASSMENT
-37.7672,145.0942,2024-04-07,ROBBERY
-37.7356,145.0786,2024-04-07,STREET_HARASSMENT
-37.7492,145.0698,2024-04-10,SEXUAL_ASSAULT
-37.73,145.0413,2024-04-10,STREET_HARASSMENT
-37.6995,145.068,2024-04-11,UNWANTED_PHYSICAL_CONTACT
-37.7589,145.0481,2024-04-12,VANDALISM
-37.6962,145.0409,2024-04-14,UNWANTED_PHYSICAL_CONTACT
-37.7199,145.0687,2024-04-16,STREET_HARASSMENT
-37.7004,145.0579,2024-04-16,STREET_HARASSMENT
-37.7093,145.0698,2024-04-17,THEFT
-37.7462,145.0817,2024-04-17,STREET_HARASSMENT
-37.7526,145.0824,2024-04-17,SEXUAL_ASSAULT
-37.7031,145.0997,2024-04-18,STREET_HARASSMENT
-37.7462,145.0762,2024-04-19,UNWANTED_PHYSICAL_CONTACT
-37.7421,145.0679,2024-04-19,STREET_HARASSMENT
-37.7423,145.0811,2024-04-19,STREET_HARASSMENT
-37.7241,145.0932,2024-04-19,ROBBERY
-37.758,145.0896,2024-04-20,STREET_HARASSMENT
-37.7232,145.0921,2024-04-21,UNWANTED_PHYSICAL_CONTACT
-37.7221,145.0741,2024-04-21,SUSPICIOUS_ACTIVITY
-37.71,145.0856,2024-04-22,ASSAULT
-37.7157,145.0969,2024-04-26,STREET_HARASSMENT
-37.7477,145.0487,2024-04-27,SEXUAL_ASSAULT
-37.7258,145.0882,2024-04-27,UNWANTED_PHYSICAL_CONTACT
-37.7563,145.0813,2024-04-29,SEXUAL_ASSAULT
-37.7147,145.0661,2024-04-30,ROBBERY
-37.7628,145.0647,2024-05-01,ASSAULT
-37.6986,145.0747,2024-05-01,ROBBERY
-37.7486,145.0986,2024-05-03,SEXUAL_ASSAULT
-37.7047,145.0539,2024-05-04,ASSAULT
-37.72,145.0838,2024-05-04,VANDALISM
-37.7366,145.0734,2024-05-05,SUSPICIOUS_ACTIVITY
-37.705,145.0695,2024-05-05,STREET_HARASSMENT
-37.7542,145.0885,2024-05-06,UNWANTED_PHYSICAL_CONTACT
-37.7018,145.0886,2024-05-10,VANDALISM
-37.7691,145.0538,2024-05-10,STREET_HARASSMENT
-37.6988,145.059,2024-05-11,STREET_HARASSMENT
-37.6955,145.0932,2024-05-12,THEFT
-37.697,145.0441,2024-05-12,STREET_HARASSMENT
-37.7023,145.042,2024-05-13,UNWANTED_PHYSICAL_CONTACT
-37.7378,145.0847,2024-05-13,STREET_HARASSMENT
-37.7688,145.0517,2024-05-14,ASSAULT
-37.7365,145.0603,2024-05-15,STREET_HARASSMENT
-37.7063,145.0492,2024-05-17,ROBBERY
-37.7555,145.0576,2024-05-18,ASSAULT
-37.7591,145.0871,2024-05-18,THEFT
-37.7024,145.0599,2024-05-18,STREET_HARASSMENT
-37.7672,145.0742,2024-05-19,STREET_HARASSMENT
-37.7059,145.0669,2024-05-20,THEFT
-37.7551,145.0659,2024-05-21,UNWANTED_PHYSICAL_CONTACT
-37.7006,145.0551,2024-05-21,UNWANTED_PHYSICAL_CONTACT
-37.769,145.042,2024-05-22,UNWANTED_PHYSICAL_CONTACT
-37.766,145.0432,2024-05-22,STREET_HARASSMENT
-37.7593,145.0941,2024-05-26,UNWANTED_PHYSICAL_CONTACT
-37.7232,145.05,2024-05-27,STREET_HARASSMENT
-37.7633,145.0618,2024-05-28,ROBBERY
-37.7247,145.0777,2024-05-29,STREET_HARASSMENT
-37.7692,145.0744,2024-05-29,STREET_HARASSMENT
-37.717,145.0776,2024-05-29,THEFT
-37.6974,145.0566,2024-05-30,UNWANTED_PHYSICAL_CONTACT
-37.6963,145.0954,2024-05-30,SEXUAL_ASSAULT
-37.7522,145.0855,2024-05-31,UNWANTED_PHYSICAL_CONTACT
-37.6999,145.096,2024-06-01,SEXUAL_ASSAULT
-37.7679,145.0789,2024-06-01,STREET_HARASSMENT
-37.7031,145.084,2024-06-01,ROBBERY
-37.7003,145.0448,2024-06-02,ROBBERY
-37.7035,145.0903,2024-06-03,STREET_HARASSMENT
-37.7448,145.0968,2024-06-04,ASSAULT
-37.7576,145.0804,2024-06-04,ROBBERY
-37.7563,145.0504,2024-06-05,ASSAULT
-37.7042,145.0847,2024-06-05,SEXUAL_ASSAULT
-37.7511,145.0805,2024-06-06,STREET_HARASSMENT
-37.754,145.0726,2024-06-07,SUSPICIOUS_ACTIVITY
-37.6972,145.0737,2024-06-07,ROBBERY
-37.766,145.0476,2024-06-10,UNWANTED_PHYSICAL_CONTACT
-37.712,145.0877,2024-06-10,SUSPICIOUS_ACTIVITY
-37.7371,145.0765,2024-06-10,STREET_HARASSMENT
-37.7649,145.0959,2024-06-10,SUSPICIOUS_ACTIVITY
-37.7251,145.0581,2024-06-11,STREET_HARASSMENT
-37.7454,145.0652,2024-06-11,UNWANTED_PHYSICAL_CONTACT
-37.7554,145.0672,2024-06-11,VANDALISM
-37.7582,145.0549,2024-06-12,ROBBERY
-37.7599,145.0957,2024-06-13,STREET_HARASSMENT
-37.7268,145.0884,2024-06-14,THEFT
-37.7225,145.0528,2024-06-15,STREET_HARASSMENT
-37.7152,145.0689,2024-06-16,STREET_HARASSMENT
-37.7335,145.0826,2024-06-17,SEXUAL_ASSAULT
-37.7395,145.0578,2024-06-19,THEFT
-37.7694,145.0727,2024-06-20,SUSPICIOUS_ACTIVITY
-37.7413,145.0982,2024-06-25,UNWANTED_PHYSICAL_CONTACT
-37.7524,145.0954,2024-06-26,STREET_HARASSMENT
-37.7021,145.0642,2024-06-26,UNWANTED_PHYSICAL_CONTACT
-37.7497,145.051,2024-06-26,UNWANTED_PHYSICAL_CONTACT
-37.7419,145.043,2024-06-26,SEXUAL_ASSAULT
-37.7421,145.0508,2024-06-27,ROBBERY
-37.7511,145.0491,2024-06-27,SEXUAL_ASSAULT
-37.7386,145.0783,2024-06-28,STREET_HARASSMENT
-37.7152,145.0464,2024-06-29,THEFT
-37.7465,145.0992,2024-06-30,UNWANTED_PHYSICAL_CONTACT
-37.7265,145.0534,2024-07-02,UNWANTED_PHYSICAL_CONTACT
-37.702,145.0686,2024-07-04,UNWANTED_PHYSICAL_CONTACT
-37.7478,145.0471,2024-07-04,SEXUAL_ASSAULT
-37.7566,145.0446,2024-07-04,ASSAULT
-37.7534,145.0505,2024-07-05,SEXUAL_ASSAULT
-37.7582,145.0683,2024-07-08,STREET_HARASSMENT
-37.7027,145.043,2024-07-08,UNWANTED_PHYSICAL_CONTACT
-37.7266,145.0599,2024-07-08,STREET_HARASSMENT
-37.7183,145.0483,2024-07-08,THEFT
-37.7241,145.0776,2024-07-10,STREET_HARASSMENT
-37.7609,145.0667,2024-07-10,STREET_HARASSMENT
-37.7208,145.0405,2024-07-11,UNWANTED_PHYSICAL_CONTACT
-37.7315,145.0763,2024-07-12,SUSPICIOUS_ACTIVITY
-37.7219,145.0671,2024-07-13,ASSAULT
-37.7508,145.0816,2024-07-13,ROBBERY
-37.7417,145.0822,2024-07-15,UNWANTED_PHYSICAL_CONTACT
-37.7332,145.0679,2024-07-17,STREET_HARASSMENT
-37.7555,145.0773,2024-07-18,THEFT
-37.7199,145.0548,2024-07-18,STREET_HARASSMENT
-37.7215,145.0968,2024-07-19,THEFT
-37.728,145.0625,2024-07-19,ASSAULT
-37.7549,145.0962,2024-07-21,STREET_HARASSMENT
-37.7418,145.0558,2024-07-22,SUSPICIOUS_ACTIVITY
-37.7138,145.0973,2024-07-22,STREET_HARASSMENT
-37.7344,145.0779,2024-07-24,STREET_HARASSMENT
-37.7633,145.0424,2024-07-25,ROBBERY
-37.6969,145.0799,2024-07-25,STREET_HARASSMENT
-37.7579,145.0494,2024-07-26,STREET_HARASSMENT
-37.719,145.0949,2024-07-26,SEXUAL_ASSAULT
-37.7457,145.0926,2024-07-27,ASSAULT
-37.7456,145.0953,2024-07-28,ROBBERY
-37.7514,145.0605,2024-07-28,STREET_HARASSMENT
-37.7696,145.0584,2024-07-28,SEXUAL_ASSAULT
-37.7513,145.0872,2024-07-29,THEFT
-37.7464,145.0754,2024-07-30,ROBBERY
-37.7057,145.0403,2024-07-31,SEXUAL_ASSAULT
-37.7472,145.0834,2024-08-01,ROBBERY
-37.7184,145.0987,2024-08-02,VANDALISM
-37.7646,145.0856,2024-08-02,THEFT
-37.7148,145.0542,2024-08-02,THEFT
-37.7008,145.0938,2024-08-03,STREET_HARASSMENT
-37.6984,145.0706,2024-08-03,ASSAULT
-37.6989,145.0977,2024-08-03,UNWANTED_PHYSICAL_CONTACT
-37.6974,145.0947,2024-08-03,STREET_HARASSMENT
-37.7682,145.0794,2024-08-03,UNWANTED_PHYSICAL_CONTACT
-37.7007,145.0564,2024-08-04,UNWANTED_PHYSICAL_CONTACT
-37.724,145.0838,2024-08-04,UNWANTED_PHYSICAL_CONTACT
-37.7551,145.0445,2024-08-04,THEFT
-37.7132,145.0671,2024-08-04,THEFT
-37.7535,145.0767,2024-08-05,UNWANTED_PHYSICAL_CONTACT
-37.7674,145.0513,2024-08-05,ROBBERY
-37.7243,145.0615,2024-08-07,ASSAULT
-37.7008,145.0807,2024-08-07,ASSAULT
-37.7644,145.0484,2024-08-09,ASSAULT
-37.7011,145.0419,2024-08-11,ASSAULT
-37.7584,145.0462,2024-08-11,STREET_HARASSMENT
-37.7542,145.0955,2024-08-12,ASSAULT
-37.7033,145.0644,2024-08-12,UNWANTED_PHYSICAL_CONTACT
-37.7207,145.0654,2024-08-13,STREET_HARASSMENT
-37.7478,145.0757,2024-08-13,SEXUAL_ASSAULT
-37.7433,145.0643,2024-08-16,ASSAULT
-37.713,145.049,2024-08-16,SEXUAL_ASSAULT
-37.6972,145.0677,2024-08-16,SEXUAL_ASSAULT
-37.7533,145.0616,2024-08-18,VANDALISM
-37.7685,145.0693,2024-08-20,ROBBERY
-37.7491,145.0774,2024-08-21,UNWANTED_PHYSICAL_CONTACT
-37.765,145.0913,2024-08-23,SEXUAL_ASSAULT
-37.7035,145.0998,2024-08-23,THEFT
-37.7685,145.0949,2024-08-26,ROBBERY
-37.7534,145.0866,2024-08-28,STREET_HARASSMENT
-37.7527,145.0462,2024-08-28,THEFT
-37.7142,145.0584,2024-08-30,VANDALISM
-37.714,145.0928,2024-08-30,SUSPICIOUS_ACTIVITY
-37.7673,145.0485,2024-08-31,STREET_HARASSMENT
-37.7472,145.0504,2024-08-31,SEXUAL_ASSAULT
-37.7652,145.0962,2024-09-03,UNWANTED_PHYSICAL_CONTACT
-37.702,145.093,2024-09-04,STREET_HARASSMENT
-37.6989,145.0742,2024-09-06,STREET_HARASSMENT
-37.7375,145.097,2024-09-06,STREET_HARASSMENT
-37.7015,145.0858,2024-09-07,UNWANTED_PHYSICAL_CONTACT
-37.7175,145.0757,2024-09-07,ROBBERY
-37.6975,145.087,2024-09-08,STREET_HARASSMENT
-37.7573,145.0884,2024-09-08,STREET_HARASSMENT
-37.7146,145.0699,2024-09-08,ASSAULT
-37.7498,145.0698,2024-09-08,UNWANTED_PHYSICAL_CONTACT
-37.7284,145.0699,2024-09-09,ASSAULT
-37.7216,145.0613,2024-09-09,THEFT
-37.7114,145.071,2024-09-10,UNWANTED_PHYSICAL_CONTACT
-37.7607,145.0461,2024-09-11,ASSAULT
-37.7215,145.056,2024-09-13,THEFT
-37.7226,145.0705,2024-09-13,UNWANTED_PHYSICAL_CONTACT
-37.6962,145.0788,2024-09-13,THEFT
-37.7636,145.0918,2024-09-13,UNWANTED_PHYSICAL_CONTACT
-37.7241,145.099,2024-09-14,ROBBERY
-37.7148,145.0753,2024-09-16,UNWANTED_PHYSICAL_CONTACT
-37.7694,145.0508,2024-09-16,ASSAULT
-37.7157,145.0759,2024-09-16,UNWANTED_PHYSICAL_CONTACT
-37.7244,145.0967,2024-09-17,ROBBERY
-37.7649,145.0981,2024-09-20,ASSAULT
-37.7507,145.0471,2024-09-20,SUSPICIOUS_ACTIVITY
-37.7164,145.0933,2024-09-21,STREET_HARASSMENT
-37.7517,145.0662,2024-09-21,UNWANTED_PHYSICAL_CONTACT
-37.7201,145.0701,2024-09-23,ROBBERY
-37.712,145.069,2024-09-23,VANDALISM
-37.7363,145.0954,2024-09-23,SUSPICIOUS_ACTIVITY
-37.7357,145.0551,2024-09-24,VANDALISM
-37.7288,145.0558,2024-09-24,THEFT
-37.7059,145.0585,2024-09-24,SEXUAL_ASSAULT
-37.7147,145.0516,2024-09-25,UNWANTED_PHYSICAL_CONTACT
-37.7409,145.0612,2024-09-26,UNWANTED_PHYSICAL_CONTACT
-37.7402,145.0544,2024-09-28,ASSAULT
-37.709,145.0806,2024-09-29,UNWANTED_PHYSICAL_CONTACT
-37.7003,145.0584,2024-09-30,ROBBERY
-37.7203,145.0886,2024-10-02,ROBBERY
-37.7656,145.0798,2024-10-02,UNWANTED_PHYSICAL_CONTACT
-37.7469,145.0598,2024-10-03,SEXUAL_ASSAULT
-37.7283,145.0843,2024-10-04,SEXUAL_ASSAULT
-37.7186,145.0908,2024-10-04,ROBBERY
-37.7022,145.0701,2024-10-04,UNWANTED_PHYSICAL_CONTACT
-37.6999,145.09,2024-10-06,ASSAULT
-37.7583,145.0839,2024-10-06,STREET_HARASSMENT
-37.6964,145.0889,2024-10-06,UNWANTED_PHYSICAL_CONTACT
-37.7318,145.0621,2024-10-07,ASSAULT
-37.7302,145.0879,2024-10-07,ROBBERY
-37.7185,145.0699,2024-10-08,ROBBERY
-37.7052,145.0631,2024-10-08,THEFT
-37.7613,145.0585,2024-10-08,STREET_HARASSMENT
-37.7151,145.0932,2024-10-08,SEXUAL_ASSAULT
-37.7517,145.0546,2024-10-08,SUSPICIOUS_ACTIVITY
-37.7581,145.0594,2024-10-10,ASSAULT
-37.7374,145.0618,2024-10-10,SEXUAL_ASSAULT
-37.7105,145.059,2024-10-10,ROBBERY
-37.715,145.0413,2024-10-13,STREET_HARASSMENT
-37.7328,145.0465,2024-10-13,SUSPICIOUS_ACTIVITY
-37.7258,145.0542,2024-10-16,STREET_HARASSMENT
-37.706,145.0893,2024-10-17,SUSPICIOUS_ACTIVITY
-37.7334,145.0803,2024-10-18,ROBBERY
-37.7091,145.043,2024-10-18,SEXUAL_ASSAULT
-37.7504,145.0479,2024-10-19,STREET_HARASSMENT
-37.732,145.072,2024-10-20,STREET_HARASSMENT
-37.7208,145.086,2024-10-22,STREET_HARASSMENT
-37.7491,145.0936,2024-10-22,THEFT
-37.731,145.0739,2024-10-23,UNWANTED_PHYSICAL_CONTACT
-37.6972,145.0446,2024-10-24,VANDALISM
-37.751,145.0476,2024-10-25,STREET_HARASSMENT
-37.757,145.0902,2024-10-25,SEXUAL_ASSAULT
-37.7191,145.0751,2024-10-26,STREET_HARASSMENT
-37.7545,145.0708,2024-10-26,THEFT
-37.7016,145.0781,2024-10-28,THEFT
-37.7296,145.063,2024-10-28,SEXUAL_ASSAULT
-37.7495,145.0416,2024-10-31,UNWANTED_PHYSICAL_CONTACT
-37.7292,145.067,2024-10-31,THEFT
-37.718,145.0509,2024-11-02,ASSAULT
-37.7337,145.0878,2024-11-02,UNWANTED_PHYSICAL_CONTACT
-37.7453,145.0754,2024-11-02,STREET_HARASSMENT
-37.7198,145.0493,2024-11-03,ASSAULT
-37.7285,145.0478,2024-11-04,ASSAULT
-37.7578,145.0805,2024-11-04,UNWANTED_PHYSICAL_CONTACT
-37.7081,145.0516,2024-11-05,THEFT
-37.7286,145.0983,2024-11-05,ASSAULT
-37.7039,145.0574,2024-11-06,ASSAULT
-37.7113,145.0802,2024-11-07,UNWANTED_PHYSICAL_CONTACT
-37.7179,145.093,2024-11-07,ROBBERY
-37.7555,145.0446,2024-11-07,UNWANTED_PHYSICAL_CONTACT
-37.7435,145.0867,2024-11-07,ASSAULT
-37.7369,145.0723,2024-11-07,UNWANTED_PHYSICAL_CONTACT
-37.7065,145.0501,2024-11-08,SEXUAL_ASSAULT
-37.7072,145.0997,2024-11-10,SEXUAL_ASSAULT
-37.7072,145.064,2024-11-13,STREET_HARASSMENT
-37.7606,145.0632,2024-11-14,THEFT
-37.7387,145.0494,2024-11-15,STREET_HARASSMENT
-37.7159,145.0668,2024-11-17,STREET_HARASSMENT
-37.7516,145.0664,2024-11-17,UNWANTED_PHYSICAL_CONTACT
-37.6982,145.0902,2024-11-21,UNWANTED_PHYSICAL_CONTACT
-37.7304,145.0582,2024-11-21,STREET_HARASSMENT
-37.7346,145.0545,2024-11-21,VANDALISM
-37.7012,145.05,2024-11-22,STREET_HARASSMENT
-37.7058,145.0921,2024-11-23,UNWANTED_PHYSICAL_CONTACT
-37.7026,145.0648,2024-11-23,ROBBERY
-37.7075,145.0597,2024-11-24,VANDALISM
-37.7633,145.0809,2024-11-24,UNWANTED_PHYSICAL_CONTACT
-37.7308,145.0522,2024-11-24,STREET_HARASSMENT
-37.7088,145.0783,2024-11-25,STREET_HARASSMENT
-37.7566,145.0675,2024-11-28,STREET_HARASSMENT
-37.7686,145.0646,2024-11-30,STREET_HARASSMENT
-37.7487,145.0878,2024-12-01,ROBBERY
-37.7223,145.0788,2024-12-01,STREET_HARASSMENT
-37.7669,145.0808,2024-12-01,ASSAULT
-37.7398,145.0799,2024-12-02,STREET_HARASSMENT
-37.7481,145.0846,2024-12-03,ROBBERY
-37.7129,145.0978,2024-12-03,SEXUAL_ASSAULT
-37.6978,145.0945,2024-12-04,STREET_HARASSMENT
-37.7217,145.0982,2024-12-07,STREET_HARASSMENT
-37.7092,145.0445,2024-12-08,ASSAULT
-37.7019,145.0708,2024-12-09,STREET_HARASSMENT
-37.7259,145.088,2024-12-09,ASSAULT
-37.7479,145.0439,2024-12-11,ASSAULT
-37.6973,145.0626,2024-12-11,UNWANTED_PHYSICAL_CONTACT
-37.7391,145.0798,2024-12-11,UNWANTED_PHYSICAL_CONTACT
-37.7253,145.0565,2024-12-13,THEFT
-37.7127,145.0574,2024-12-14,ASSAULT
-37.7428,145.0936,2024-12-15,STREET_HARASSMENT
-37.7152,145.0694,2024-12-15,VANDALISM
-37.7624,145.0882,2024-12-16,STREET_HARASSMENT
-37.7402,145.0824,2024-12-17,UNWANTED_PHYSICAL_CONTACT
-37.7635,145.052,2024-12-18,UNWANTED_PHYSICAL_CONTACT
-37.7069,145.0858,2024-12-19,VANDALISM
-37.7075,145.0406,2024-12-19,ASSAULT
-37.7465,145.0901,2024-12-19,STREET_HARASSMENT
-37.7368,145.0913,2024-12-20,SEXUAL_ASSAULT
-37.7023,145.093,2024-12-21,SEXUAL_ASSAULT
-37.7629,145.0562,2024-12-21,UNWANTED_PHYSICAL_CONTACT
-37.7163,145.0891,2024-12-21,SEXUAL_ASSAULT
-37.7046,145.0746,2024-12-22,UNWANTED_PHYSICAL_CONTACT
-37.7493,145.0846,2024-12-22,STREET_HARASSMENT
-37.7655,145.0426,2024-12-22,ROBBERY
-37.75,145.0476,2024-12-23,THEFT
-37.7029,145.0487,2024-12-23,ASSAULT
-37.7426,145.0407,2024-12-24,STREET_HARASSMENT
-37.7118,145.0876,2024-12-24,SUSPICIOUS_ACTIVITY
-37.7214,145.082,2024-12-24,STREET_HARASSMENT
-37.743,145.0711,2024-12-24,SUSPICIOUS_ACTIVITY
-37.7376,145.0528,2024-12-25,SUSPICIOUS_ACTIVITY
-37.7669,145.0648,2024-12-26,THEFT
-37.7663,145.0508,2024-12-26,STREET_HARASSMENT
-37.7636,145.0583,2024-12-28,SEXUAL_ASSAULT
-37.7509,145.0888,2024-12-29,ASSAULT
-37.7421,145.0507,2024-12-29,STREET_HARASSMENT
-37.7325,145.0689,2024-12-30,UNWANTED_PHYSICAL_CONTACT
-37.7606,145.0834,2025-01-01,ASSAULT
-37.7006,145.0878,2025-01-02,STREET_HARASSMENT
-37.7144,145.0819,2025-01-03,UNWANTED_PHYSICAL_CONTACT
-37.7642,145.087,2025-01-03,THEFT
-37.732,145.0616,2025-01-04,STREET_HARASSMENT
-37.7185,145.0683,2025-01-04,ASSAULT
-37.7309,145.0839,2025-01-06,ROBBERY
-37.6981,145.059,2025-01-07,SEXUAL_ASSAULT
-37.7359,145.0676,2025-01-09,UNWANTED_PHYSICAL_CONTACT
-37.7378,145.0665,2025-01-10,STREET_HARASSMENT
-37.7581,145.0599,2025-01-12,ASSAULT
-37.7073,145.0815,2025-01-13,VANDALISM
-37.7,145.0802,2025-01-14,STREET_HARASSMENT
-37.7407,145.0902,2025-01-15,ROBBERY
-37.6981,145.0657,2025-01-16,STREET_HARASSMENT
-37.7134,145.0791,2025-01-18,ASSAULT
-37.7248,145.0441,2025-01-19,STREET_HARASSMENT
-37.7242,145.0462,2025-01-19,ROBBERY
-37.7579,145.0521,2025-01-19,ROBBERY
-37.7276,145.0432,2025-01-20,STREET_HARASSMENT
-37.7316,145.0993,2025-01-20,STREET_HARASSMENT
