suburb,latitude,longitude,date,type,description
Carlton,-37.810821,144.974975,2021-04-07,UNWANTED_PHYSICAL_CONTACT,"Coming home from the night shift, a stranger wearing a hoodie intentionally bumped into me near the station entrance. I tried to ignore them."
Craigieburn,-37.616831,144.923843,2021-04-07,SEXUAL_ASSAULT,"Broad daylight, near the shops, a person acting erratically groped me in the middle of the crowd in a poorly lit laneway. I won't be walking that way again."
Brighton,-37.919854,144.984633,2021-04-09,UNWANTED_PHYSICAL_CONTACT,"Heading to the gym early, a person acting erratically attempted to snatch my phone outside a local pub. I called a friend immediately."
Pakenham,-38.083761,145.484068,2021-04-09,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a person acting erratically grabbed my hand and wouldn't let go near the station car park. They eventually walked off."
Belgrave,-37.926784,145.325633,2021-04-09,STREET_HARASSMENT,"Walking the dog around the block, a person who seemed to be following me engaged in intimidating verbal behavior outside a 24-hour gym. I quickly ducked into a shop."
Richmond,-37.801566,144.992155,2021-04-10,SEXUAL_ASSAULT,"Just as the sun was setting, a delivery driver tried to pull me toward a darker area outside a residential building. I reported it to a nearby officer."
Tarneit,-37.816898,144.674733,2021-04-11,UNWANTED_PHYSICAL_CONTACT,"On a quiet side street, a passerby brushed against me multiple times at a crowded intersection. No one intervened."
Coburg,-37.723597,144.946225,2021-04-11,STREET_HARASSMENT,"After finishing dinner at a restaurant, a group of teenagers cornered me and asked personal questions along the main road. I reported it to a nearby officer."
Craigieburn,-37.611839,144.897679,2021-04-12,STREET_HARASSMENT,"Just after leaving the station, a person acting erratically engaged in intimidating verbal behavior outside a residential building. They eventually walked off."
Hurstbridge,-37.633874,145.208401,2021-04-13,UNWANTED_PHYSICAL_CONTACT,"While walking home, two men pushed past me aggressively near the station car park. I quickly ducked into a shop."
Richmond,-37.818369,144.978252,2021-04-13,STREET_HARASSMENT,"Checking my phone at the bus stop, someone on an e-scooter made persistent unwanted comments along the main road. I eventually lost them in the crowd."
Pakenham,-38.0681,145.501297,2021-04-14,SEXUAL_ASSAULT,"Heading to the gym early, someone on an e-scooter exposed themselves in public near the station car park. I quickly ducked into a shop."
Coburg,-37.722575,144.967813,2021-04-15,SEXUAL_ASSAULT,"Coming back from a night out, an aggressive individual exposed themselves in public outside a residential building. They eventually walked off."
Melton,-37.682139,144.595048,2021-04-17,SEXUAL_ASSAULT,"On a quiet side street, two men groped me in the middle of the crowd outside a 24-hour gym. I eventually lost them in the crowd."
St Kilda,-37.879676,144.981071,2021-04-18,SEXUAL_ASSAULT,"Around midnight, a person who seemed to be following me groped me in the middle of the crowd near a bicycle path. They eventually walked off."
Melton,-37.684316,144.563875,2021-04-19,STREET_HARASSMENT,"During the evening rush, a group of teenagers engaged in intimidating verbal behavior near the ticket barriers. I tried to ignore them."
Werribee,-37.887796,144.67247,2021-04-19,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, an individual who appeared intoxicated made explicit and unwanted advances outside a residential building. I eventually lost them in the crowd."
Coburg,-37.761138,144.940695,2021-04-20,STREET_HARASSMENT,"Taking a shortcut through a park, a passerby engaged in intimidating verbal behavior along the main road. Thankfully, a bystander helped."
Lilydale,-37.725977,145.367435,2021-04-20,UNWANTED_PHYSICAL_CONTACT,"Browsing the shops on a busy Saturday, a stranger wearing a hoodie pushed past me aggressively along the main road. I tried to ignore them."
Mornington,-38.203284,145.048296,2021-04-21,STREET_HARASSMENT,"Just after leaving the station, an aggressive individual followed me for several blocks outside a local pub. They eventually walked off."
Ferntree Gully,-37.888759,145.302306,2021-04-22,UNWANTED_PHYSICAL_CONTACT,"While waiting for the tram, a middle-aged man tried to pull my bag outside a 24-hour gym. I reported it via a safety app."
Broadmeadows,-37.673231,144.905164,2021-04-23,SEXUAL_ASSAULT,"On a quiet side street, a person who seemed to be following me committed a physical assault by the public restrooms. I'm shaken but okay."
Ringwood,-37.801311,145.22527,2021-04-23,STREET_HARASSMENT,"Walking to my car, a stranger wearing a hoodie followed me for several blocks in a poorly lit laneway. I managed to run away."
Richmond,-37.810675,144.985417,2021-04-24,UNWANTED_PHYSICAL_CONTACT,"After finishing dinner at a restaurant, a cyclist who stopped suddenly brushed against me multiple times near the station entrance. I felt very unsafe."
Healesville,-37.630615,145.520268,2021-04-24,UNWANTED_PHYSICAL_CONTACT,"Coming home from the night shift, a group of individuals pushed past me aggressively outside a 7-Eleven. Thankfully, a bystander helped."
Craigieburn,-37.605481,144.897765,2021-04-24,STREET_HARASSMENT,"On a quiet side street, a group of teenagers cornered me and asked personal questions near the entrance of a shopping centre. I'm shaken but okay."
Lilydale,-37.762772,145.369274,2021-04-24,SEXUAL_ASSAULT,"Passing by a construction site, a lone person committed a physical assault near a bicycle path. I eventually lost them in the crowd."
St Kilda,-37.870766,144.957916,2021-04-27,SEXUAL_ASSAULT,"On a quiet side street, an individual who appeared intoxicated exposed themselves in public near the entrance of a shopping centre. I felt very unsafe."
Point Cook,-37.920095,144.754597,2021-04-29,SEXUAL_ASSAULT,"Broad daylight, near the shops, a middle-aged man violated personal space aggressively outside a residential building. I managed to run away."
Belgrave,-37.891163,145.346183,2021-04-29,SEXUAL_ASSAULT,"Walking the dog around the block, a person acting erratically committed a physical assault outside a local pub. I'm shaken but okay."
Richmond,-37.812822,145.019147,2021-04-29,STREET_HARASSMENT,"Heading to the gym early, a group of teenagers shouted offensive slurs outside a local pub. I'm shaken but okay."
Whittlesea,-37.529656,145.121704,2021-04-30,STREET_HARASSMENT,"Exploring the local market, someone on an e-scooter shouted offensive slurs in a poorly lit laneway. I reported it to a nearby officer."
Carlton,-37.784302,144.987179,2021-05-02,STREET_HARASSMENT,"Around midnight, a group of individuals followed me for several blocks outside a 24-hour gym. I'm shaken but okay."
Hurstbridge,-37.621181,145.185957,2021-05-03,UNWANTED_PHYSICAL_CONTACT,"Browsing the shops on a busy Saturday, a middle-aged man tried to pull my bag in the middle of the park. I called a friend immediately."
Werribee,-37.923898,144.635659,2021-05-03,STREET_HARASSMENT,"Waiting for a rideshare to arrive, a stranger wearing a hoodie shouted derogatory remarks near a bicycle path. I reported it to a nearby officer."
Craigieburn,-37.610505,144.909532,2021-05-05,STREET_HARASSMENT,"Exploring the local market, a stranger wearing a hoodie shouted offensive slurs near the station car park. I managed to run away."
Pakenham,-38.068031,145.478061,2021-05-08,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, a delivery driver blocked my path while catcalling near the edge of the bushland. I won't be walking that way again."
Melbourne CBD,-37.788872,144.986972,2021-05-08,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, a passerby grabbed my hand and wouldn't let go at a crowded intersection. I reported it to a nearby officer."
Box Hill,-37.839153,145.114127,2021-05-09,UNWANTED_PHYSICAL_CONTACT,"While walking home, someone on an e-scooter grabbed my hand and wouldn't let go in the underground parking lot. I called a friend immediately."
Melton,-37.689855,144.598991,2021-05-10,SEXUAL_ASSAULT,"While walking home, a middle-aged man committed a physical assault in the middle of the park. I tried to ignore them."
Mornington,-38.23999,145.051617,2021-05-11,UNWANTED_PHYSICAL_CONTACT,"Coming home from the night shift, a group of teenagers attempted to snatch my phone near the station entrance. They eventually walked off."
Healesville,-37.648218,145.505288,2021-05-14,UNWANTED_PHYSICAL_CONTACT,"Broad daylight, near the shops, an aggressive individual attempted to snatch my phone near the station car park. Thankfully, a bystander helped."
Whittlesea,-37.497461,145.110737,2021-05-18,UNWANTED_PHYSICAL_CONTACT,"Waiting for a rideshare to arrive, someone on an e-scooter attempted to snatch my phone outside a local pub. They eventually walked off."
Broadmeadows,-37.675281,144.924771,2021-05-19,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a person who seemed to be following me tried to pull me toward a darker area by the public restrooms. Thankfully, a bystander helped."
Point Cook,-37.928198,144.767327,2021-05-19,UNWANTED_PHYSICAL_CONTACT,"Around midnight, someone on an e-scooter pushed past me aggressively in the underground parking lot. No one intervened."
Ringwood,-37.810621,145.234629,2021-05-20,STREET_HARASSMENT,"Coming home from the night shift, a passerby engaged in intimidating verbal behavior near the station car park. I won't be walking that way again."
Ringwood,-37.824812,145.243757,2021-05-20,SEXUAL_ASSAULT,"On a quiet side street, a cyclist who stopped suddenly violated personal space aggressively in the middle of the park. I managed to run away."
Box Hill,-37.815679,145.124717,2021-05-21,UNWANTED_PHYSICAL_CONTACT,"While walking home, an aggressive individual attempted to snatch my phone near the edge of the bushland. They eventually walked off."
Coburg,-37.728695,144.982099,2021-05-25,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, a person acting erratically grabbed my hand and wouldn't let go near the ticket barriers. I felt very unsafe."
Tarneit,-37.794757,144.648177,2021-05-25,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, two men engaged in non-consensual touching near a bicycle path. I quickly ducked into a shop."
Footscray,-37.797215,144.923872,2021-05-26,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, a person acting erratically made persistent unwanted comments near a bicycle path. I reported it via a safety app."
Box Hill,-37.833224,145.104136,2021-05-31,STREET_HARASSMENT,"Walking the dog around the block, a person acting erratically made persistent unwanted comments near a bicycle path. I quickly ducked into a shop."
Melbourne CBD,-37.830027,144.969062,2021-05-31,SEXUAL_ASSAULT,"While waiting for the tram, a passerby violated personal space aggressively outside a local pub. I won't be walking that way again."
St Albans,-37.715642,144.779791,2021-05-31,SEXUAL_ASSAULT,"Just as the sun was setting, a passerby violated personal space aggressively outside a 24-hour gym. Thankfully, a bystander helped."
Hurstbridge,-37.646798,145.205474,2021-06-01,STREET_HARASSMENT,"Broad daylight, near the shops, two men made persistent unwanted comments along the main road. I eventually lost them in the crowd."
Whittlesea,-37.506916,145.105318,2021-06-01,STREET_HARASSMENT,"Passing by a construction site, a group of individuals followed me for several blocks in the underground parking lot. Thankfully, a bystander helped."
Broadmeadows,-37.668864,144.938933,2021-06-03,SEXUAL_ASSAULT,"Checking my phone at the bus stop, a middle-aged man groped me in the middle of the crowd in the middle of the park. They eventually walked off."
Box Hill,-37.806033,145.098436,2021-06-04,SEXUAL_ASSAULT,"Broad daylight, near the shops, a cyclist who stopped suddenly violated personal space aggressively outside a local pub. I felt very unsafe."
Coburg,-37.734222,144.938099,2021-06-08,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, an individual who appeared intoxicated shouted offensive slurs near a bicycle path. I reported it to a nearby officer."
Cranbourne,-38.076807,145.278495,2021-06-09,SEXUAL_ASSAULT,"Just as the sun was setting, a person acting erratically violated personal space aggressively at a crowded intersection. They eventually walked off."
Sunshine,-37.780578,144.821351,2021-06-09,STREET_HARASSMENT,"Checking my phone at the bus stop, a stranger wearing a hoodie shouted offensive slurs outside a local pub. No one intervened."
Richmond,-37.807441,145.000952,2021-06-11,SEXUAL_ASSAULT,"Heading to the gym early, a lone person violated personal space aggressively outside a 24-hour gym. I reported it via a safety app."
Box Hill,-37.795133,145.136544,2021-06-12,UNWANTED_PHYSICAL_CONTACT,"While waiting for the tram, an aggressive individual grabbed my hand and wouldn't let go in a poorly lit laneway. I tried to ignore them."
Tarneit,-37.79836,144.657823,2021-06-13,SEXUAL_ASSAULT,"While walking home, a passerby committed a physical assault near the station entrance. I reported it via a safety app."
Box Hill,-37.844434,145.09966,2021-06-14,STREET_HARASSMENT,"Checking my phone at the bus stop, an individual who appeared intoxicated cornered me and asked personal questions near the edge of the bushland. I eventually lost them in the crowd."
Sunshine,-37.801043,144.823128,2021-06-15,UNWANTED_PHYSICAL_CONTACT,"Walking the dog around the block, a lone person intentionally bumped into me near the station car park. I won't be walking that way again."
St Albans,-37.750838,144.806504,2021-06-17,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, a group of individuals made explicit and unwanted advances outside a supermarket. They eventually walked off."
Werribee,-37.886067,144.644339,2021-06-17,STREET_HARASSMENT,"Coming back from a night out, someone on an e-scooter engaged in intimidating verbal behavior outside a 7-Eleven. I quickly ducked into a shop."
Dandenong,-37.957397,145.1877,2021-06-17,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, two men grabbed my arm by the public restrooms. They eventually walked off."
Melton,-37.66172,144.566678,2021-06-18,SEXUAL_ASSAULT,"Exploring the local market, an individual who appeared intoxicated committed a physical assault outside a local pub. I reported it to a nearby officer."
Box Hill,-37.819562,145.112635,2021-06-19,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, a lone person attempted to snatch my phone near the station entrance. I quickly ducked into a shop."
Broadmeadows,-37.662611,144.926321,2021-06-21,STREET_HARASSMENT,"Heading to the gym early, a group of individuals made persistent unwanted comments outside a local pub. I eventually lost them in the crowd."
St Kilda,-37.871504,144.985585,2021-06-22,UNWANTED_PHYSICAL_CONTACT,"Just after leaving the station, a passerby intentionally bumped into me by the public restrooms. No one intervened."
Epping,-37.628381,145.037628,2021-06-22,SEXUAL_ASSAULT,"Taking a shortcut through a park, a group of individuals made explicit and unwanted advances along the main road. They eventually walked off."
Sunshine,-37.783577,144.819388,2021-06-24,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, a cyclist who stopped suddenly committed a physical assault in a poorly lit laneway. I reported it to a nearby officer."
Ferntree Gully,-37.892195,145.282394,2021-06-25,STREET_HARASSMENT,"Exploring the local market, a delivery driver shouted offensive slurs along the main road. I tried to ignore them."
Mornington,-38.206726,145.044222,2021-06-27,UNWANTED_PHYSICAL_CONTACT,"Taking a shortcut through a park, a group of individuals attempted to snatch my phone outside a 24-hour gym. I managed to run away."
Ferntree Gully,-37.897034,145.272016,2021-06-29,STREET_HARASSMENT,"Coming back from a night out, a passerby shouted offensive slurs along the main road. Thankfully, a bystander helped."
Footscray,-37.7894,144.917005,2021-06-30,SEXUAL_ASSAULT,"Coming back from a night out, someone on an e-scooter violated personal space aggressively outside a 7-Eleven. I eventually lost them in the crowd."
Tarneit,-37.805013,144.665942,2021-06-30,SEXUAL_ASSAULT,"While walking home, a passerby made explicit and unwanted advances near a bicycle path. I eventually lost them in the crowd."
Melbourne CBD,-37.807585,144.972406,2021-07-02,STREET_HARASSMENT,"Just after leaving the station, a group of individuals shouted offensive slurs outside a 7-Eleven. I'm shaken but okay."
Tarneit,-37.821683,144.649379,2021-07-02,STREET_HARASSMENT,"On a quiet side street, a delivery driver engaged in intimidating verbal behavior outside a residential building. Thankfully, a bystander helped."
Pakenham,-38.093355,145.460787,2021-07-03,SEXUAL_ASSAULT,"Taking a shortcut through a park, a person who seemed to be following me engaged in non-consensual touching near the edge of the bushland. I won't be walking that way again."
Tarneit,-37.803155,144.643347,2021-07-04,UNWANTED_PHYSICAL_CONTACT,"After finishing dinner at a restaurant, someone on an e-scooter pushed past me aggressively outside a supermarket. I tried to ignore them."
Dandenong,-37.990078,145.219657,2021-07-04,SEXUAL_ASSAULT,"Waiting for a rideshare to arrive, a group of teenagers tried to pull me toward a darker area near the entrance of a shopping centre. No one intervened."
Cheltenham,-37.963511,145.055091,2021-07-04,SEXUAL_ASSAULT,"Passing by a construction site, a person acting erratically committed a physical assault by the public restrooms. I felt very unsafe."
Hurstbridge,-37.618443,145.173565,2021-07-06,SEXUAL_ASSAULT,"On a quiet side street, a lone person exposed themselves in public along the main road. I managed to run away."
Melbourne CBD,-37.837194,144.97942,2021-07-06,SEXUAL_ASSAULT,"Walking the dog around the block, a cyclist who stopped suddenly engaged in non-consensual touching along the main road. I reported it to a nearby officer."
Coburg,-37.758613,144.947533,2021-07-07,SEXUAL_ASSAULT,"Broad daylight, near the shops, an individual who appeared intoxicated tried to pull me toward a darker area near the ticket barriers. I won't be walking that way again."
Richmond,-37.818017,145.011728,2021-07-08,STREET_HARASSMENT,"Exploring the local market, a person acting erratically made persistent unwanted comments along the main road. Thankfully, a bystander helped."
Belgrave,-37.92928,145.365863,2021-07-08,UNWANTED_PHYSICAL_CONTACT,"Waiting for a rideshare to arrive, a person who seemed to be following me intentionally bumped into me in the underground parking lot. I called a friend immediately."
Hurstbridge,-37.618043,145.180252,2021-07-08,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a middle-aged man attempted to snatch my phone along the main road. I reported it to a nearby officer."
Carlton,-37.796947,144.986615,2021-07-08,SEXUAL_ASSAULT,"Walking the dog around the block, a person who seemed to be following me engaged in non-consensual touching along the main road. No one intervened."
Footscray,-37.778517,144.894477,2021-07-11,UNWANTED_PHYSICAL_CONTACT,"During the evening rush, a delivery driver pushed past me aggressively in the underground parking lot. Thankfully, a bystander helped."
Mornington,-38.241238,145.03544,2021-07-11,SEXUAL_ASSAULT,"While walking home, an individual who appeared intoxicated exposed themselves in public in the underground parking lot. I quickly ducked into a shop."
Tarneit,-37.811712,144.648722,2021-07-12,STREET_HARASSMENT,"During the evening rush, a middle-aged man engaged in intimidating verbal behavior in a poorly lit laneway. I eventually lost them in the crowd."
Broadmeadows,-37.68007,144.913238,2021-07-12,STREET_HARASSMENT,"Just after leaving the station, a passerby made persistent unwanted comments at a crowded intersection. I eventually lost them in the crowd."
Frankston,-38.159286,145.136612,2021-07-13,STREET_HARASSMENT,"Exploring the local market, an individual who appeared intoxicated made persistent unwanted comments near the edge of the bushland. I quickly ducked into a shop."
Tarneit,-37.83185,144.68235,2021-07-13,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, a group of individuals pushed past me aggressively near the ticket barriers. No one intervened."
Brighton,-37.908763,144.99236,2021-07-14,UNWANTED_PHYSICAL_CONTACT,"While waiting for the tram, a delivery driver brushed against me multiple times near the station entrance. I won't be walking that way again."
St Albans,-37.764855,144.81695,2021-07-14,SEXUAL_ASSAULT,"On a quiet side street, a group of teenagers groped me in the middle of the crowd near the ticket barriers. I managed to run away."
Pakenham,-38.085509,145.481938,2021-07-14,UNWANTED_PHYSICAL_CONTACT,"Waiting for a rideshare to arrive, a cyclist who stopped suddenly grabbed my arm along the main road. I managed to run away."
Broadmeadows,-37.675226,144.912419,2021-07-15,SEXUAL_ASSAULT,"Around midnight, someone on an e-scooter committed a physical assault near the ticket barriers. No one intervened."
Ferntree Gully,-37.868343,145.270187,2021-07-17,STREET_HARASSMENT,"Waiting for a rideshare to arrive, a middle-aged man blocked my path while catcalling outside a local pub. I'm shaken but okay."
Brighton,-37.890312,144.968878,2021-07-19,UNWANTED_PHYSICAL_CONTACT,"After finishing dinner at a restaurant, a lone person brushed against me multiple times outside a local pub. Thankfully, a bystander helped."
Brighton,-37.899658,144.983724,2021-07-20,UNWANTED_PHYSICAL_CONTACT,"During the evening rush, two men pushed past me aggressively outside a residential building. I reported it via a safety app."
Healesville,-37.637118,145.504043,2021-07-22,SEXUAL_ASSAULT,"While walking home, a person who seemed to be following me engaged in non-consensual touching outside a 7-Eleven. I quickly ducked into a shop."
Broadmeadows,-37.703992,144.901554,2021-07-22,UNWANTED_PHYSICAL_CONTACT,"Passing by a construction site, a person acting erratically intentionally bumped into me near the station entrance. I called a friend immediately."
Frankston,-38.139437,145.095209,2021-07-23,STREET_HARASSMENT,"Passing by a construction site, a lone person shouted derogatory remarks in the underground parking lot. I called a friend immediately."
Box Hill,-37.795934,145.12836,2021-07-26,UNWANTED_PHYSICAL_CONTACT,"Walking to my car, a person who seemed to be following me grabbed my arm in the underground parking lot. Thankfully, a bystander helped."
Frankston,-38.160438,145.112153,2021-07-26,SEXUAL_ASSAULT,"While walking home, a stranger wearing a hoodie tried to pull me toward a darker area in the middle of the park. I eventually lost them in the crowd."
Whittlesea,-37.538282,145.116831,2021-07-27,STREET_HARASSMENT,"Broad daylight, near the shops, someone on an e-scooter engaged in intimidating verbal behavior at a crowded intersection. I felt very unsafe."
Lilydale,-37.770123,145.354423,2021-07-27,SEXUAL_ASSAULT,"Just as the sun was setting, a person who seemed to be following me violated personal space aggressively along the main road. No one intervened."
Cheltenham,-37.970162,145.082409,2021-07-27,STREET_HARASSMENT,"After finishing dinner at a restaurant, a delivery driver engaged in intimidating verbal behavior by the public restrooms. I reported it to a nearby officer."
Footscray,-37.81666,144.921066,2021-07-27,SEXUAL_ASSAULT,"Taking a shortcut through a park, a passerby committed a physical assault in the underground parking lot. Thankfully, a bystander helped."
Sunshine,-37.795452,144.809353,2021-07-28,STREET_HARASSMENT,"Broad daylight, near the shops, a group of teenagers shouted offensive slurs in a poorly lit laneway. Thankfully, a bystander helped."
Tarneit,-37.789486,144.665885,2021-07-28,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, a middle-aged man made explicit and unwanted advances near a bicycle path. They eventually walked off."
Epping,-37.630095,145.053696,2021-07-30,UNWANTED_PHYSICAL_CONTACT,"Passing by a construction site, a person who seemed to be following me attempted to snatch my phone near the edge of the bushland. No one intervened."
Melton,-37.667047,144.563152,2021-07-31,SEXUAL_ASSAULT,"Exploring the local market, a delivery driver groped me in the middle of the crowd outside a 7-Eleven. I'm shaken but okay."
Lilydale,-37.771425,145.351572,2021-08-01,SEXUAL_ASSAULT,"Just as the sun was setting, a passerby tried to pull me toward a darker area in a poorly lit laneway. I felt very unsafe."
Footscray,-37.794049,144.878176,2021-08-02,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, a group of individuals grabbed my hand and wouldn't let go near the station car park. I tried to ignore them."
Werribee,-37.890623,144.68192,2021-08-06,SEXUAL_ASSAULT,"Coming back from a night out, a person acting erratically tried to pull me toward a darker area outside a supermarket. I reported it via a safety app."
Whittlesea,-37.50355,145.09144,2021-08-06,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a person who seemed to be following me pushed past me aggressively near the edge of the bushland. I felt very unsafe."
Pakenham,-38.073314,145.502117,2021-08-08,STREET_HARASSMENT,"Just as the sun was setting, someone on an e-scooter shouted derogatory remarks near the entrance of a shopping centre. I tried to ignore them."
Craigieburn,-37.615457,144.895749,2021-08-08,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, a person acting erratically tried to pull my bag outside a supermarket. Thankfully, a bystander helped."
Brighton,-37.907445,145.00639,2021-08-08,UNWANTED_PHYSICAL_CONTACT,"Exploring the local market, a cyclist who stopped suddenly tried to pull my bag in a poorly lit laneway. They eventually walked off."
Coburg,-37.74259,144.961132,2021-08-08,STREET_HARASSMENT,"Walking the dog around the block, a group of teenagers followed me for several blocks by the public restrooms. I quickly ducked into a shop."
Sunshine,-37.79695,144.84389,2021-08-10,UNWANTED_PHYSICAL_CONTACT,"Browsing the shops on a busy Saturday, an individual who appeared intoxicated grabbed my arm near the ticket barriers. I quickly ducked into a shop."
Sunshine,-37.788139,144.841104,2021-08-10,SEXUAL_ASSAULT,"On a quiet side street, a group of individuals tried to pull me toward a darker area outside a residential building. I reported it to a nearby officer."
